Geography,Geographic Area Name,Total
0500000US12115,"Sarasota County, Florida",421681
0500000US12117,"Seminole County, Florida",462651
0500000US12119,"Sumter County, Florida",120348
0500000US12121,"Suwannee County, Florida",42333
0500000US12123,"Taylor County, Florida",17884
0500000US12125,"Union County, Florida",9397
0500000US12127,"Volusia County, Florida",535066
0500000US12129,"Wakulla County, Florida",29407
0500000US12131,"Walton County, Florida",69134
0500000US12133,"Washington County, Florida",22334
0500000US13001,"Appling County, Georgia",17991
0500000US13003,"Atkinson County, Georgia",8274
0500000US13005,"Bacon County, Georgia",10337
0500000US13007,"Baker County, Georgia",3090
0500000US13009,"Baldwin County, Georgia",40800
0500000US13011,"Banks County, Georgia",18886
0500000US13013,"Barrow County, Georgia",80897
0500000US13015,"Bartow County, Georgia",105029
0500000US13017,"Ben Hill County, Georgia",16510
0500000US13019,"Berrien County, Georgia",18898
0500000US13021,"Bibb County, Georgia",146479
0500000US13023,"Bleckley County, Georgia",11566
0500000US13025,"Brantley County, Georgia",18813
0500000US13027,"Brooks County, Georgia",15429
0500000US13029,"Bryan County, Georgia",38069
0500000US13031,"Bulloch County, Georgia",69039
0500000US13033,"Burke County, Georgia",22121
0500000US13035,"Butts County, Georgia",21558
0500000US13037,"Calhoun County, Georgia",4394
0500000US13039,"Camden County, Georgia",51961
0500000US13043,"Candler County, Georgia",10576
0500000US13045,"Carroll County, Georgia",114877
0500000US13047,"Catoosa County, Georgia",66522
0500000US13049,"Charlton County, Georgia",11860
0500000US13051,"Chatham County, Georgia",277048
0500000US13053,"Chattahoochee County, Georgia",7021
0500000US13055,"Chattooga County, Georgia",22772
0500000US13057,"Cherokee County, Georgia",251625
0500000US13059,"Clarke County, Georgia",115750
0500000US13061,"Clay County, Georgia",2878
0500000US13063,"Clayton County, Georgia",281025
0500000US13065,"Clinch County, Georgia",6560
0500000US13067,"Cobb County, Georgia",744737
0500000US13069,"Coffee County, Georgia",39451
0500000US13071,"Colquitt County, Georgia",44832
0500000US13073,"Columbia County, Georgia",153028
0500000US13075,"Cook County, Georgia",16946
0500000US13077,"Coweta County, Georgia",144876
0500000US13079,"Crawford County, Georgia",12140
0500000US13081,"Crisp County, Georgia",21924
0500000US13083,"Dade County, Georgia",14826
0500000US13085,"Dawson County, Georgia",25013
0500000US13087,"Decatur County, Georgia",25361
0500000US13089,"DeKalb County, Georgia",741462
0500000US13091,"Dodge County, Georgia",18655
0500000US13093,"Dooly County, Georgia",12105
0500000US13095,"Dougherty County, Georgia",84916
0500000US13097,"Douglas County, Georgia",143241
0500000US13099,"Early County, Georgia",10050
0500000US13101,"Echols County, Georgia",3944
0500000US13103,"Effingham County, Georgia",61602
0500000US13105,"Elbert County, Georgia",18897
0500000US13107,"Emanuel County, Georgia",21664
0500000US13109,"Evans County, Georgia",10140
0500000US13111,"Fannin County, Georgia",25462
0500000US13113,"Fayette County, Georgia",112443
0500000US13115,"Floyd County, Georgia",93467
0500000US13117,"Forsyth County, Georgia",235741
0500000US13119,"Franklin County, Georgia",22416
0500000US13121,"Fulton County, Georgia",1018587
0500000US13123,"Gilmer County, Georgia",30759
0500000US13125,"Glascock County, Georgia",2906
0500000US13127,"Glynn County, Georgia",83457
0500000US13129,"Gordon County, Georgia",56992
0500000US13131,"Grady County, Georgia",24376
0500000US13133,"Greene County, Georgia",17641
0500000US13135,"Gwinnett County, Georgia",919423
0500000US13137,"Habersham County, Georgia",43009
0500000US13139,"Hall County, Georgia",199537
0500000US13141,"Hancock County, Georgia",6097
0500000US13143,"Haralson County, Georgia",29199
0500000US13145,"Harris County, Georgia",34080
